"X","Y"
165.4,164.6
162.7,169
179.8,175.8
151.9,150.2
146.1,151.8
155.6,152.7
157.4,156.3
175.3,172.2
175.2,175.4
170.6,173.5
171.8,169.5
160.9,162.7
168.1,169.5
170.1,172
171.7,173.6
151.7,154.6
155.9,153.4
177.7,168.5
172.2,170.3
171.6,166.6
176.8,170.1
158.3,153.5
173.7,168.9
164.2,170.7
164.6,162
171.9,171.5
152.3,152.8
149.9,152.1
188.6,177.5
156.4,151.3
178.6,171.3
169.4,163.8
168.6,167.5
175.6,176.5
176.8,176.3
181.8,169.3
158.5,164
167.3,160.8
164.9,158.1
169.1,176.9
171.8,163
161.7,162.4
168.2,166.1
162.2,158.1
166.3,165.2
