"X","Y"
125.2,83.8
119.2,82.6
120.9,85
119.6,87.5
117.6,83.6
122.7,82.8
124.1,84.4
125.8,86.9
119,80.8
120.9,85.1
126.6,81.9
119.6,90.5
125.6,83.4
120.9,79.4
119.3,82.4
121.1,84.3
127.8,88.2
114.4,79
126.9,87.4
118,83.6
119.6,84.1
123.9,86.2
117.8,81.8
124.2,82.3
120.7,82.7
125.8,87.8
129.3,87
121.3,79.9
123,83.9
125.9,88
124.2,82.1
120.1,81.7
120.1,84.8
121.5,83.9
124.6,80.5
118.3,79.9
124.1,87.8
120.9,83.8
126.3,88.1
122.8,81.1
124.5,88.4
117.9,79.4
120.2,85.9
126.5,84.6
124.2,83.8
117.5,83.5
125.2,86.9
125.9,80.4
130.4,83
118.7,87.6
123,82.3
118.7,82.6
118.6,80.9
126.3,82.7
121.3,85.8
123.4,83.6
121.3,84.6
117.1,85
122.9,87.9
115.4,80.2
120.9,88
122,85.3
117.8,83.9
119.6,78.8
126.9,79.4
122.6,82.1
116,81.5
123.5,83.1
123.6,88.4
117.4,84.4
123.8,84.2
126.1,81.3
120.7,80.7
118,80.6
122,84.3
128.7,82.6
120.6,84.6
125.5,87.6
124.1,81.9
121.5,87.2
117.7,79.8
126.1,78.5
118.7,80.1
124.8,83.9
124.4,83.8
119,87
121.4,82.1
115.9,85.6
121.3,85
121.6,85.8
115.8,83.4
128.4,85.3
128.8,78.5
124.7,89.2
123.1,86.8
122.6,87.8
121.9,85.8
129.2,81
108.6,78.8
119.9,83.9
123.4,90.6
125,91.3
121.8,81.9
123,86.1
124.2,83
126.3,84.8
118.6,78
