"X","Y"
140.2,145.7
144.6,158.7
131.8,144.9
144.4,140.4
146.9,147.2
172,170.2
154.8,149.8
151.5,150.9
158.4,163.2
171.6,154.5
157.5,164.1
149.4,145.7
146.7,142.6
141.6,148.8
151.3,158.8
151,138.6
143.1,141.3
139.7,134.5
150.7,145.2
138.5,134.6
139.6,140.7
145.1,133.9
136,149.4
166.4,157.1
148.3,143.3
141.5,143.9
131.7,142.8
154.2,144.8
155.4,147.7
159.6,162.2
153.6,153.1
131.9,141.8
138.3,144.9
154.6,139
164.7,162.6
152,147.4
143.8,151.7
151.6,162.6
159.8,149.6
142.7,148.7
156.5,154.4
146.5,157
155.1,151.9
155.7,142
136.9,145.3
171.8,162.1
135.4,151.2
153.3,161.9
161.5,156.7
172.6,159.5
165.4,168.5
136.7,141.1
164.2,162.5
150.3,151.5
160.2,161.3
143.6,148.3
149.2,148.7
142.3,148.6
149.7,153.9
153.1,159.9
151,160.4
151.8,160.3
163.5,163.5
149.4,148.5
152.5,151.6
149.2,150.1
158.4,150.2
167.8,157.5
150.7,156.8
139.4,143
157.2,153
