"X","Y"
115.9,83
119.5,79.8
116.4,84.4
117.9,78.1
118.9,82.4
119.7,82.9
117.6,81.8
118.7,81.9
116,80.1
118.8,78.6
114.9,85.6
113.4,80.9
123.2,81.9
118.3,79.3
111.5,76.2
125.7,83.6
114.5,86.7
122.8,79.3
123.3,78.1
116.5,85.6
118.7,85.6
116.6,80.6
124.6,81
123.7,84.8
122.1,82.3
117.1,83.2
116.6,83.4
116.1,83.9
123,83.6
112.1,80.4
120.7,85.7
119.6,83.1
129,81.2
113.1,76.8
122,82.9
115.9,80.7
129.1,86.5
119.5,82.8
116.6,77.8
121.3,79.3
117.2,80
116,85.8
113.2,82.1
123.2,86.3
112.7,80.3
111.3,79.7
114.5,81.2
124.1,82.6
114.6,82.2
120.4,78.9
119.7,76.5
130.1,83
123.1,85.8
117.4,80.1
114.4,74.7
114.4,80.7
120.6,84.2
124.7,83.2
115.6,76.9
120.5,82.5
119.5,84.4
119.8,85.7
115,81.8
118.9,85.6
115.4,85.3
116.1,79.7
115.3,76.7
125.7,86.6
113.8,80.7
121.3,83.7
122.7,78.4
121,83.2
115.3,78.9
122.2,79.6
120.2,83.4
118,81.2
120.4,79.9
125.2,83.1
122,85.5
125.1,80.2
112.3,74.6
120.9,78.7
119.9,80.5
118.5,78.7
120.9,86.3
124.8,79.4
123.7,84
117.5,86.7
119.3,83.9
118.5,83.2
124,85.1
116.5,82.9
113.5,82.3
