"X","Y"
168.9,181
177.7,188.7
188.1,185
176.3,176.2
177.5,174.1
180.6,174.4
162.5,170
184.7,183
185.8,179.1
198.5,189.2
187.3,184.3
165.4,168
173.2,168.2
172.1,183.1
174.5,173.1
172.9,166.6
203.3,184.4
185.7,179.4
170.3,175.4
181.4,177.5
157.1,163.2
183,177.6
165.6,170.6
172.8,182.7
186.9,171
200.6,190.8
187.4,191.2
175.9,180.3
179.2,188.3
162.8,175.8
181.7,174
162.8,167.3
176.6,184.5
172.8,169.7
178.1,176.1
166.5,178.5
182.6,179.7
164.9,178.4
180.3,174.2
190.9,188.7
165.5,168.3
169.6,164.2
177.9,175.4
181,181.7
166,171.7
163.3,171.3
176.2,170.8
195.2,194.9
179.5,173.8
177.6,175.9
205.7,192.6
172.6,169.9
168.7,174.9
191.5,185.2
174.4,171.6
184.9,176.7
