"X","Y"
117.2,80.8
125.6,87.3
122.6,90.1
123,84.7
120.3,82.6
118.3,83.2
120.6,86.7
113.1,82.3
119.2,89.9
115.7,82
123.4,84.9
114.1,79.1
118.6,85.7
112.9,77.5
121.1,86
117.4,81.8
119.5,89
120.6,84.5
121.7,87.1
112.1,82.3
121.3,83.2
120.9,83.2
125.5,85.2
119.5,88.5
117,79.8
111.2,79.3
116,80.9
120.7,82.7
112.7,82.6
120.9,84.1
116.5,84.4
112.6,82.8
112.5,81.7
115.8,82.3
112,79.9
114.9,84.6
118.4,83.7
120,81.7
120.8,88
119.8,84.5
115,76.1
124.5,88.4
113.7,85.9
116.3,82.3
119.7,83.4
128.4,89.7
116.8,86.2
115.4,80.4
113.7,82.9
122.8,82
115.9,87.8
123.1,83.4
110.8,78.3
123.5,79.7
118.1,84.9
119.9,89.4
112.2,84.5
121.5,90
121.1,86.7
114.2,82.1
112.6,77.6
115.8,80.6
117.4,84.2
119.5,80.9
118.2,82.7
124.2,85.8
116.3,83.1
118.2,79.1
119.9,86.2
117.7,83.8
126.1,88.8
123.4,87.5
108.4,84.2
116.3,84.2
127.6,90
114.4,80.9
116.4,87.7
113.7,79.2
118.4,80.3
123.6,83.2
114.7,80.6
115.4,87.4
113.3,80.3
118,85.7
120.2,88
118.9,83.8
121.8,88.3
117.3,87
122.5,82.2
112.7,77.9
119.7,85.4
118.1,83.4
112.4,82.3
115.6,83.4
118.8,83.9
120.9,91.7
116.7,80.9
113.1,86.6
111.5,79.5
121.2,86.3
115.7,77.2
114.1,83.4
112.5,78.4
116,80.9
