"X","Y"
120.6,77.1
123,82.9
117,82.8
119.2,81
122.3,81.2
127.4,83.9
123.6,80
123.3,85.3
124.6,81
120.1,80.6
123.2,78.7
121.5,79.2
130,87.4
119.1,79.2
121,80.3
123.7,83.7
123.3,81.9
125.3,85.8
126.5,85.7
123.4,82.2
122.3,83.7
116.6,84.6
117.6,81
118.5,78.5
117.9,82.5
124.2,83
121,79
131.4,80.4
123.5,80.4
121.8,79.2
120.9,77.3
123.5,80.3
116.7,80.1
117.8,80.9
123.8,83
127.1,79.2
119.1,78.4
125.7,79.7
123.5,82.2
128.8,83.5
126.7,86.7
122.9,84.6
113.8,82.5
113.3,82.4
125.2,82
126.5,82.7
124.2,81.4
126.5,85.7
123,86.6
121.6,86.5
120.4,85
121.7,82.4
126.6,89.3
127.1,86.1
123.7,75.5
119.7,77.4
125.6,80.9
122,80.4
125.6,83.4
119,78
122.6,78.9
116.6,82.4
113.5,79.4
127.4,86.5
118.6,86.6
123.3,82.6
111.5,76.4
120.5,83.5
120.1,79.2
119.8,80.5
121.5,81.3
126.5,82
125.6,81.9
114.6,78.6
117.4,81.5
120.5,81.9
125.8,85.9
121.2,82
117.3,78.2
127,86.2
124.8,82.2
117.2,79.5
121.9,83.8
115.2,75.2
118,83.9
123.5,83.4
124.5,82.1
121.7,81.3
123.6,79.2
119.4,89.4
