"X","Y"
161.8,167.1
182.3,176
179.1,179.2
187,182.5
193.8,192.1
191.4,183.6
182.7,180.1
188.8,186.8
175.1,185.5
180.1,185.2
184.5,190.7
178.5,176.9
173,167.1
193.3,185.1
197,196
190.9,187.7
187.4,185.4
194.1,195.4
182.3,184
191.5,190.7
187.7,182.7
183.3,180
175.5,171.5
200.2,204.2
197.4,191.4
182.4,186.3
199.6,187.2
187.2,196.5
193.6,184.3
185.6,185.3
176.3,171.6
194.7,189.8
183.6,178.6
185.5,188.9
192.9,193.6
192,189.5
201.4,202.7
183.4,180
182,183.4
176,175.7
177.8,183.2
177.7,178.6
168.4,168
170.3,173.5
184.8,178.7
167.5,183.4
175.8,170.5
178.1,184.6
166.9,168.2
172,176.2
170.3,179.2
184.4,181
188.7,187.7
178.8,181.5
168.2,174.3
186.3,177.7
177.6,176.4
165.9,172.6
