"X","Y"
164.5,169
149.1,158.6
170.4,165.3
171.6,170.6
164.5,163.5
173.7,172.8
151.5,155.3
167.1,178.3
158.7,179
166.3,168.3
151.7,156.5
154.1,150.3
162.3,163.7
162.6,163.5
154.3,164.7
169.3,172.8
151.6,161.5
164.6,164.4
167.2,162.4
164.9,162.4
156.4,156.7
155.8,149.5
176.1,176.6
166.8,165.5
171.8,160.8
163.3,161
159.7,160.7
154.1,153.5
168.8,169.9
152,154.9
161.9,164.7
158.2,155.4
153.3,147.2
175.3,169.7
158.5,159.1
173.4,167.6
161,156.9
167,169.9
164.3,167.9
141.5,145.4
183.7,181.9
173.8,170.3
170.2,158
159.8,162.9
178.4,182.2
154.5,162.7
144.7,147.1
159.3,161.8
169.6,161.6
164.8,171.7
157.8,156.9
154,149.8
154.9,156.7
157.4,156.2
161.3,156.2
