"X","Y"
123.1,83.4
115.3,80.2
121.9,81.7
120.7,80.1
125.2,80.4
121.4,77.9
126,79.9
123.8,80.4
126.2,82
125.8,83
123.2,84.4
123.5,77.2
124.7,81.8
118.5,86.1
122.1,79.3
120.6,75.2
125.9,77.4
126.2,81.8
125.1,80.8
124.6,82.9
129.4,80.5
129.7,84
121.5,78.1
122.1,82.8
121.4,79
124.8,80.7
122.8,81
123,84.1
123.9,82.8
124.4,89.7
125.4,87.5
126.6,85.1
122,81.8
128.8,85.4
116.3,79.1
125.2,78.1
123.5,78.4
125.5,80.2
124.3,79
121.8,80.6
121.5,78.9
121.2,80.9
118.5,79.7
119.8,82.4
121.3,83.1
121.2,83.9
122.4,77
115.5,81.3
124.5,81.1
118.3,79.6
127.2,85.3
123.9,79.2
118.2,82.4
119.8,82.5
123.7,79.9
122.8,81.2
113.9,76.2
120.8,77.2
123.3,79.2
121,85.7
123.1,80.3
121.7,78
122,78.5
123.3,80.7
117.6,83.9
115.7,78.1
116.7,79.8
116,78
127.2,80.3
123.3,79.9
125,83.5
118.5,79
121.9,83.3
126.7,75.9
111.8,78.4
129.3,80
123.5,82.7
120.5,81.7
118.7,77.2
123.7,78.7
120.3,73.9
125,81.4
118,77.7
115.2,82.7
120,82.4
113.8,76.1
124.1,79.5
121.3,80.1
121.4,79.3
120.6,86.9
126.8,83.4
117.5,80.8
119.1,83.7
119.1,80.5
