"X","Y"
118.8,84.4
115.9,81.9
123.9,79.8
118.1,85.7
119.4,76.9
113.5,75.7
113.9,83
117.1,86.2
113.5,86.1
117.9,82.4
118.7,80.4
109.2,82
116.3,82.9
124.8,82.6
115.9,80.6
117.2,80.6
121.8,80.8
122.6,83.7
112.1,85.9
116.6,77.9
120.4,83.4
123.6,87
117.8,87.4
114.6,78.5
120.7,80
118.4,81.8
119.7,84.6
125.9,85.1
115.7,85.8
123.3,84.3
125.2,82.9
115.9,86.3
124.5,82.5
121.3,91.1
114.2,76.4
116.6,81.6
121.5,81.1
120.6,82.3
117.2,80.7
121.4,81.4
117.1,86.6
123.3,78.4
114,87.4
116.3,82.5
116.5,83.8
118.4,85
118.8,80.4
118.8,82.3
125.6,80
122.3,78
119.6,87.2
123.8,82.8
130,81
123.2,86.6
117.6,82.2
115.8,80.3
122.2,88.5
117.6,84.5
114.6,83.5
117.3,81.4
113.9,80.8
120.3,81
114.4,89.2
123.2,80.1
110.3,86.6
118.9,81.6
122.2,77.7
123.2,86.8
117.9,82
120.1,80.1
120.9,86.9
120.7,85.3
112.2,75.9
110.7,90.1
113,91.5
115.9,82.6
119.7,82.9
118.9,81.3
120.5,84.2
115.6,80.1
117.9,82.9
119.4,82.5
117.8,86
115.7,78.3
116.3,79.7
116.3,86.9
116.6,85.5
121.2,80.4
115.1,84.1
122.1,84.9
118,85.5
111.4,82.8
120.3,80.8
114.3,78
111.1,81
120.6,83.1
121.4,81.3
117,80.5
111.2,80.7
122.5,78.7
121.9,85.4
