"X","Y"
183.8,219
160,184.7
182.6,222.3
164.5,196
189.7,210
168.3,203.4
161.8,206.7
186.2,221.7
177.9,215.3
177.1,200.8
177.5,206.7
174.9,208.7
174.5,201.3
172.8,201.6
167.7,201.4
188.4,216.5
164.2,195.5
171.3,200.5
180.1,217.3
167,202.4
180.5,208.6
169.6,190.8
179.6,209.5
162.6,203.6
162.6,204.7
177.1,199.7
185.5,207.8
176.2,205.9
169.6,212.4
192.2,219
180.7,210.5
168.9,199
178.8,208.9
185.4,208.3
203.8,224.3
161.4,197.9
172.4,201.7
176.3,203.8
175.4,197.6
180.9,209.9
159.4,200.9
185.8,211.8
168.3,209.2
154.3,203
179.2,216.1
164.1,199.6
181,217.3
196.2,217.8
165.6,197.1
175.9,215.3
186.6,203.3
180.8,216.7
175.3,206.3
178.8,212.4
184.1,212.9
180,204.1
184.6,205
169.1,210.9
162.7,188.8
166.3,211.9
