"X","Y"
122.8,82.4
126.2,75.8
117.7,79.8
120.1,84.9
113.9,76.1
115.3,79.7
117.9,83.5
121.4,79.4
120.8,82.2
122,81
122.4,82.2
122.8,80.4
129.4,82.6
123,82.6
114.1,82.2
123,77.3
123,76
119.1,82.8
115.8,80.7
108.2,80.6
118.7,83.3
112,79.4
120.1,82.7
115.3,78.3
120.2,83
116.7,80.4
121.7,78.3
117.8,77.3
125.4,81.9
117.4,82.4
117.6,80.4
123,80
121.7,86.5
116.3,82.5
125.9,81.2
123.3,75.8
119.6,77.7
118.1,84.4
120.2,80.9
119.2,80.2
123.6,80.1
119.9,85.6
117.6,81.9
117.8,82.9
121.6,84.1
127.9,80.5
121.4,86
127.6,88.8
116.7,80.8
121.9,78.8
116.9,79.6
121.1,83.7
114.7,75.6
125.4,80.6
120.4,85.2
117.5,79.2
122.6,82
117.7,78.3
122.2,78.6
116,80.1
118.6,82.2
119.7,80.4
122.3,75.6
114,80.7
120.1,81.2
118.8,80.6
123.4,80.2
126.2,79.6
121.6,80
119.4,83.8
126.2,83
120.9,72.2
117.9,77.3
129.3,86.4
124.5,78.9
117.4,79.1
119.3,76.5
122.6,82.5
121.3,78.9
122.5,84.1
122,80.7
121.1,80.4
123.4,79.8
121.2,82
121.4,87.1
121.9,81.6
118.6,82.5
113.3,82.1
116.1,78.2
116.8,83.5
120.8,79.1
120.6,82.4
121.1,80.2
119.5,81.7
125.7,80.6
123.3,88.5
119,75.6
124.2,86.5
115.8,82.8
119.8,80.2
