"X","Y"
180.7,172.5
179.6,171.9
202.5,191.5
183.1,175.1
187.1,177.3
178.3,171.8
172.9,165.7
194.1,183.7
201.5,189.4
197.2,186.5
192.6,181.9
195.3,184.9
175.5,169.3
177.9,168.3
183.5,177.1
188.9,180.7
181,170.9
206.6,190.8
190.8,180.7
188.8,176.9
200.1,188.5
182.6,173.2
197.3,186.7
185.2,176.2
184.2,173.5
193,181.7
174.2,168.9
177.6,169.5
189.3,179
186.1,175.3
187.5,177.8
208.3,194
177.4,169.6
184,176.3
185.7,176.8
195.2,183.2
187.6,176.9
195,184
184.7,177.1
178,170.9
180.3,171.5
188.5,176.2
200.4,188
190.3,179.7
170.2,165
176.7,170.2
206.3,193.4
182.2,173.3
185.1,177.1
183.9,174.9
209.8,195.8
200.9,189.7
181.1,173.5
178.7,172.4
166.5,162.6
177.3,168.9
193.8,182.9
191.2,181.1
197.8,185.8
175.7,167.7
172.7,164.5
202.2,189.8
187.1,177.4
208.4,193.1
