"X","Y"
125,84.4
126.4,84.1
125,84.9
124.1,80.4
123.1,82.2
113.9,77
125.8,83.6
125.5,82
125.2,86.2
125.8,85.4
126.1,83
122.2,81.2
128.4,79.9
126.1,84.1
121.3,78.5
122.6,82.8
119.3,78.7
121,78.5
114.1,76.3
122,81
120.9,81.3
119.2,78.3
118.3,82.2
118.4,79.8
115.3,78.5
115.8,81.1
122.3,78.7
124.5,85.3
123,82.5
118.6,79.8
119.9,78.8
121.4,78.7
121.8,82.3
130.1,88.8
125.8,81.2
118.4,76.8
116.3,80.2
122.2,85.2
120.2,78.4
123.9,82.3
119.3,79.8
116,75.9
128.9,79.8
125.2,80.4
116.5,75.8
122.3,78.3
121,78.5
128.1,87.2
121.1,83.8
123.4,80.8
119.5,78.6
126.9,75.6
123.3,82.2
122.6,82.8
122.1,82.3
118.6,82.6
119.5,78.3
119.7,79.2
122.5,81.1
118.7,80
119.6,77.9
119.8,79.2
124,82.2
122.4,79.7
123.1,81.2
109.5,72.2
118.6,74.5
122.6,83.2
127,84.4
120.9,79.7
125.6,84.9
125,86.2
119.6,80.1
117.5,77.1
120.9,80.8
123.7,79.5
107.6,73.7
121.9,83.4
122.8,80.5
124.1,82.2
122.6,78.5
121.2,81
116.3,74.4
122.7,83
125.6,85.9
117.9,76.8
120.7,76.8
122.9,79.8
123.9,85.4
115.1,76.7
118.1,81.7
116,78
120.3,79.5
126.2,85.2
124.7,81.8
125.3,81.1
123.6,79.2
120.5,84.3
