"X","Y"
217,199
200.1,191.1
201.7,205.3
189.6,190.4
208.3,207.2
190.6,181.7
184.9,188.6
209,199.6
208.3,209.8
188.8,182.1
189.7,184.8
194.7,199.5
195,188.4
178.7,194.3
184.1,180.7
212.3,198.8
177,178.5
193.1,195
197.7,200
192.4,196.3
203.5,199.8
175.4,181.8
188.9,192.6
189.4,192.3
174.1,181.8
196.4,193.4
192.8,189.1
197.6,195.5
192.1,197.2
192.6,190.4
211.8,209.5
179.3,177.8
199.8,197.7
192.5,192.9
190.7,187.2
203.5,188.8
189,195.2
203.5,192.8
182.6,186.7
198.5,190.5
192.4,201.3
202.1,198.2
202.1,206.5
177.8,188.4
199.9,200.2
190.4,198.7
185.3,190.8
175.8,186.6
207.7,206.2
188.2,189
181.1,180.3
184.5,181.8
