"X","Y"
126.7,85.1
120.9,85.6
120.1,80
122.6,84.7
127,88.2
124.1,84.5
117.1,78.5
120.2,82.9
120.1,80.4
118.9,88.2
123.5,84.6
125,81
127,86.3
117.5,82.3
115.6,88.5
119,85.3
122.2,86.2
119.3,84.7
118.6,81.3
123.1,82.7
129.6,83.1
118.4,82.9
127.9,82.4
119.6,79.9
123.9,82.8
123.2,85.6
118.7,82.9
123.4,80.3
121.9,84.6
118.9,84.7
119.3,79.9
119.7,82.5
122.2,79.8
129.2,88.6
127.1,81.5
119.5,84.6
127.2,85.8
122.1,85.4
118.8,83
118,83.7
122.3,86.2
123,84.6
116.7,80.8
114.4,82.4
126,78.8
113,85.4
123.9,84.1
128.3,86.2
126.6,84.1
122.8,80.6
119.2,84
121,85.2
122.1,84.3
121.8,85.4
119.4,81.4
122.7,81.9
123.6,81.9
119.5,85
124.1,82.9
118.4,85.8
127.9,83.6
121.5,83.6
117.4,82.9
121,89
120.9,86.8
128.3,86.1
120.8,82.5
122.6,87
125.5,81.3
123,83.3
126.3,84.9
117.4,82.9
127.9,87.2
125.6,83.1
119.5,82.4
118,80.1
120.7,88
115.2,77.8
118.1,80.2
118.3,85
123.7,79
118,82.1
123.5,81.7
130.7,88.8
122,79.6
124.3,87.3
123.9,87.6
114.8,80.7
127.6,82.9
129.4,83.4
121.6,85.5
118.2,82.4
118.7,83.1
132.1,86.4
119,78.1
122.9,84
124,84
122.6,80.6
122.1,80.2
122.8,88.8
126.7,81.1
119,88.2
116.5,80.5
122.9,81.1
125.5,86.4
123.3,81.2
118.1,85
125.1,82.5
118.1,83.6
129.5,89.7
