"X","Y"
182.6,217.6
209.9,234
194.5,226.3
201.3,232.8
195.9,221.9
192,223
185.6,214.1
182.4,215.4
178.6,211.8
204.3,232.6
192.3,217.8
187.8,223.4
189.4,219.9
186.5,223.5
192.5,227.1
211.4,245.7
184.2,218.4
211.6,233.6
180.7,201.9
176.5,210.5
194,227
169.3,208.7
188.3,219.3
195.5,226.6
192.4,221.9
198.9,223
192.9,218.9
187.6,213.9
188.8,219.5
190.9,215.5
190,219.4
190.3,221.3
178.3,211.2
192.5,220.4
199.9,229.6
182.1,208.9
200.3,229.5
192.8,219.8
189.2,221.3
202.7,232
193.3,221.3
172.5,218.3
192.9,223.3
212.5,240.6
181.2,210.7
189.5,226.8
187,217.8
187.2,217.4
178.1,213.3
193.9,216.1
196.9,228.3
187.9,216.5
188,222.1
