"X","Y"
114.2,78.5
117.4,86
112.3,78.8
119.6,83.1
116.4,78.2
115.4,79.9
123.3,79.6
117.6,78.3
118.5,85.1
117.1,88.7
122.6,79.9
122.7,79.6
116.8,83.7
115.6,78.5
123.9,77.5
119.2,82.8
120.4,83.8
122.3,77.2
114.8,84
122.1,84
121.9,82.2
122.9,79.8
122.2,86.2
134.4,85.8
121.2,80.4
115.6,80.8
123,82.2
121.8,83.2
122.3,76.2
117.4,82.9
108.7,81.2
120.7,82.3
114.8,83.7
117.9,84.3
120.8,82.2
118.3,84.6
116.3,87.7
121.5,79.9
119,85.2
116.8,73.9
112.1,79.6
117.4,82.8
127.9,84.7
121.9,83.8
119.7,80.5
123.9,78.8
110.7,77.9
119.7,80.8
122.3,88.2
118.5,75.6
122.6,81
128.1,84
116.4,80.7
118,77.9
116.1,81.5
118.6,80.6
119.7,77.8
117.7,78.2
120.7,84.6
123.4,83.3
125.2,82.8
116.6,82.7
123.4,83.2
116.7,83.6
119.4,80.5
118.5,78.7
121.5,84.7
121.4,83
118.4,80.8
112.6,78.4
120.5,84.7
116,81.1
122.1,88.9
127.7,85.7
123.4,84.9
119.6,79
114.7,79
129.3,86
119.5,81.6
125.3,79.6
126.7,77.3
113.4,83.7
117.1,78.1
124.3,81
116.4,81.6
123.6,79.3
119.2,86.1
122.4,83.7
119.9,78.9
123.6,83.4
117.6,81.2
122.1,85.4
117.2,79.5
122.5,77.6
126.8,80.8
122.1,80.1
116.1,79.5
126,82.7
119.8,84.4
122.1,79.7
116.7,79.9
121.2,75.5
121.5,82.1
