"X","Y"
118.1,76.6
121.9,79.4
123.4,80.2
117.3,80.1
119.7,78.2
112.5,77
122.2,85.6
123.9,85.8
119.3,80.7
120.2,83.3
114.8,77.9
119.7,83.7
122.8,79.4
113.6,81.5
120.1,81.4
123.3,80.1
120.3,84.2
114.5,84.3
125.7,85
119.7,82.9
120.2,85.5
128.2,85.8
117.1,78.7
120.4,78.8
120.5,78.9
113.5,80.7
121,79.5
118.1,80.5
110.5,72.2
119.3,82.1
116.6,79.1
127,84.7
116.2,81.8
128.2,84.5
118.4,79.2
120.5,84
124.2,81.4
120,77.9
121.4,83
119.5,84.7
116.1,80.1
124.1,83.7
119.7,80.9
125.2,84.1
113.8,78.2
125.7,84.8
120.5,79.4
121.1,80
123.9,80.9
124.7,85
120.6,79.2
119.6,80.5
117.4,81.8
120.6,79
116.4,80.3
120.7,77.6
124.1,82
119,80.5
121,83.2
124,81.4
119.6,84.3
124.9,78.8
117.7,80.9
127.4,85.5
125.7,86.1
119.8,83.8
114.8,76.8
114,80.2
118.6,80.4
116.5,77
112.3,76.7
119.4,75.5
117.6,82.1
128.5,81.2
121.1,81
120.3,80.8
120.7,79.7
115.8,76.4
120.6,85.4
119.2,82.1
113,77.7
114.7,78.1
127.4,83.9
120.7,78.9
115.6,76.7
123.2,81
118.9,78.3
123.5,83.3
120.7,81.2
114.5,82.4
118.1,78.2
123.4,85.7
121.5,85.6
116.4,79.2
120.7,86.1
119.4,77.6
116.7,79.4
120.2,80.7
121.5,78.5
122,79.4
123.2,80.8
111.5,78.2
120.2,83
