"X","Y"
128.4,135.1
160.2,148.8
153.3,146
127.2,135.4
131.9,129.6
148.2,153.5
153.4,147.6
156.5,152.7
151.3,149.2
149,147.1
136,141.3
143.1,146.1
157.1,149.7
136.4,140.9
145.5,144.9
154.4,149.4
136.1,139.7
142,136.3
127.1,132.2
141.9,140.8
133.4,136.9
139.9,133.4
157.6,158
130,133.7
143.9,145.1
145.7,146.3
144.1,144.6
146.7,150
143.1,136.3
122.3,130.6
141.4,143.3
137.5,132.1
149.5,141.7
171.7,161.7
136.6,130.8
131.1,134.8
124.9,129.4
137.7,141.7
131.8,139.3
152.3,154.1
123.6,123.7
135.7,131
133.3,142.1
142.7,142.5
138.2,139.3
143.8,143.4
144.2,141.3
129.7,132.7
139.9,144.3
145.1,146.7
155.8,149.3
153.6,151.4
135.1,142.8
133.7,140.6
164.3,157.5
132.6,139.5
123.3,129.4
133.1,139.9
136.6,133.3
144.6,142.4
136.3,139.6
130.4,127.8
129.8,134.1
134.7,134.7
152.3,154.8
141.3,147.3
153.1,156.5
144.5,143.2
140.8,140.1
132.5,134.5
152.4,149.2
