"X","Y"
200.4,199.7
180.3,188.8
181.6,184.7
181.4,184.2
198.1,193.1
195.5,191.4
182.2,183.2
192.9,186.1
211.6,212.9
187.7,190.1
181.5,179.9
190.7,189.7
183.1,184.5
188.6,192.9
215,211.1
197.9,188.4
196.2,199.9
205.1,200.5
188.8,188.6
195.3,201.9
186.9,188.5
197.4,189.8
198.8,193.7
202.9,203.4
191.3,192.4
194.7,190.5
192,193.7
203.3,199.9
203.4,201.6
212.9,207.6
182.6,187.2
193.1,191.5
199.6,196
201.2,198.3
210.9,208.7
203.4,195.6
193.5,185.2
200.5,199.8
174.8,179.9
211.1,209.6
184.7,188
193.9,193.7
211.7,206.2
189.6,200.8
203.8,202.5
190.1,196.3
207.4,202.9
174,185.3
192.9,200.2
187.3,193.5
191.9,190.7
193.9,199.2
187.5,195.8
199.1,201.9
187.5,198.1
204.3,197.1
194.7,197.5
190.2,190
196.6,200.9
192.6,194.4
