"X","Y"
120.2,83.2
122,86.9
120.1,84.8
121.8,79.9
115.6,79.6
116.8,81.3
108.6,79.2
114.8,82.2
114.3,77
115.5,82
114.1,78.9
115.5,78.2
123,81.5
115.4,82.3
114.7,79.8
118.4,80
120.9,84.3
122.3,86.2
118.8,83.7
115.8,79.6
120.8,83.2
122,86
120.6,86.4
116.3,83
116,84.3
128,86.3
122.8,80.6
119.7,85.8
124,81.7
129.5,96.7
115,85
116.5,82.2
114.4,80.4
118.3,84
118,85.2
126.4,85.3
126.9,85.2
128.3,86.6
126.9,91.7
118.6,80
119.4,85.1
114.6,80.6
123.3,84.1
123.4,85.7
116.2,85.4
118,82.1
123.5,85.7
117.8,80.8
124.2,87.1
118,80.3
124.7,84.8
128.7,86.6
117.7,81
117.2,83.9
119.9,83.3
112.1,84.8
117.3,84.5
121.3,80.3
119.4,84.2
122.7,86.6
119,86.6
113.6,83.2
114,87.7
112.1,82
117.9,80.1
125.2,87
124.8,85
116.7,79.7
117.5,82.3
125.6,82.6
120.6,85.8
120.1,80.9
125.3,84.6
117.1,86.7
115,79.9
125.3,82.1
121.4,84
121.3,82.7
124.8,85.1
122.9,88.3
117.3,84.4
118.1,87.4
121.1,85.7
117.1,82.4
120.3,87
120.9,87.2
115.6,78.5
116.5,85.2
119.6,79.8
116.6,82
