"X","Y"
125,86.3
123.2,87.5
115,86.4
120.3,79.7
125.9,83.9
117.8,84.9
120.2,81.6
125.6,85.7
109.3,79.1
125,86.6
112.6,77
114.6,86
116.7,81.4
119.7,84.9
119.1,85.3
114.7,82.9
117.6,85.4
120.8,84.7
116.1,82.2
122.3,85.9
122.2,83.8
125,86.5
116.5,84.1
117.3,77.6
119.6,81.5
113.3,80.8
110.8,78.4
120.7,84.2
119.1,85.7
128.2,85
119.2,81.4
122,81.7
121.2,78.3
121.5,79.6
114.7,82.8
127.5,89.8
116.8,80.4
116,80.7
122.4,85.8
116.2,81.9
119.1,82.9
115.8,81.4
125.4,87.7
116,77.8
116.7,87.8
126.8,80.4
121.6,81.9
119.1,82.5
119.3,84.2
121.3,87.6
123.2,87.3
117.2,79.6
117.9,86.5
120.6,85
121.6,88.8
114.9,82
126.8,82.4
115.5,80.1
123.8,85.6
120.9,81.2
120.8,81.1
114.7,78.3
116.6,77.9
121.9,83.4
117.5,83
119.4,82.3
119.6,85.1
116.3,85.3
117.7,84.6
118.6,81.2
118.1,87.1
124.7,82.5
115.7,82.5
118.8,83.7
119.2,79.8
115.9,86
116.6,84.5
112.5,80
121,85
119.6,84.4
122.5,78.9
110.4,81.1
116.7,81.8
117,81.7
125.4,88.1
118.5,84
117.3,84.2
122.3,83.8
126.6,85.5
114.2,82.4
122.7,81.6
119,85.9
124.9,86.4
120,80.1
