"X","Y"
197.8,201.1
191.7,203.6
184.2,180.2
206.4,201.3
213.7,206.2
186.8,181.2
209,196.5
194.8,186.8
196.2,205.3
214.8,201
209.5,198.6
195.7,181.9
195.4,188.4
189.2,192.2
204.8,205.2
181.2,190.1
209,206.7
198.9,184.3
195.2,195.6
203.1,199.7
201.9,195.6
204.1,201.9
207.3,199.4
189.7,199.8
195.9,198.8
199.1,190.5
204.8,204
182.1,197.7
212.1,203.9
169.6,174.4
205.1,190.7
180.4,185.1
204.7,196.1
187.6,191.8
215.3,200.1
201.5,205.8
193.4,183.4
190.5,196.2
190.4,189.2
204.1,198.3
187.6,186.4
185.9,193.9
196.6,186.8
205.2,191.4
197.3,193.1
184.8,195.1
199.8,194.4
198.5,209.8
