"X","Y"
184.6,218.3
182.2,216.4
190.6,216.7
168.3,201.7
178.4,205.8
206.8,224.5
182,212.1
174.1,229.1
189.4,223.1
180.2,208.2
177.3,210.4
157.9,199.4
178.5,224.9
182.9,224.5
180.5,221.2
181.3,210
176.1,206.1
180.6,208.8
191.6,217.4
179,213.5
192.7,208.5
176,192.9
174.6,216.3
183.5,214.2
197,223.8
189.4,214.2
183.8,211.3
182.6,216.5
189.5,225.6
181,211.3
187.9,221.1
189.2,229
176.7,218.7
160.3,203.1
185.7,213.8
175.6,223
190.1,212.7
172.8,215.7
189.5,219.2
192.7,222.5
194.1,214.1
171,206.2
183,209.2
176.8,218.3
172.3,211.2
190.3,207.4
172.1,209.5
165.4,203
178.3,209.4
185.4,216.6
164.4,207.1
195,221.2
175.2,207.9
180.1,211.3
184.3,210.3
