"X","Y"
153.3,184.5
152.7,175.9
183.8,196
146.2,176.8
159.4,188
167.3,183.2
148.5,169.7
164.4,194.1
160.3,193.2
154.4,180.2
143.4,187.1
160.4,196.6
168.5,185.7
125.8,168.7
174.1,192.6
165.4,188.1
172.9,192.7
168.4,196.2
157.4,197.4
162.5,189.2
166.8,194.9
156.7,196.3
152.6,177.1
161,189.7
165.7,184.9
151,182.1
174.3,191.8
147.7,174.9
160,188.2
153.3,183.5
155.7,182.3
141.9,170.2
149.3,174.5
154.4,185.9
161,188.6
144.6,188.6
162.9,193.7
160.4,180
159.3,193.8
159.4,190.2
157.8,192.4
152.3,183.1
149.5,182.5
162.3,188.3
159.7,182.6
149.9,181.3
160.6,184.4
158.1,191.5
147.1,164.2
145.5,182.7
144.1,178.7
154.2,190
155.2,188
155,180.9
162.4,179
157.5,184.7
166.6,192.3
155.7,197.2
157.9,188.8
169.4,196.1
152.4,184.3
152.8,182.4
168.4,191.9
147.4,187.7
