"X","Y"
121.2,78.7
118.8,84.6
118.3,77.3
120,74.5
118.3,81.1
117.6,76.6
118.4,79.4
122.7,83.4
118.5,82.1
126.1,79.2
118.8,80.5
120.7,77
120.9,75.2
112.5,82.1
123.9,82.8
120.7,80.3
119.9,79.9
124.5,82.4
128.1,84.1
121.9,80.6
118.5,77.4
124.5,81.4
123.2,83.9
121.5,85.7
116.8,82.1
123.4,76.8
119.7,82.7
126.2,85
120.1,79.2
124.8,82.9
118.7,78.5
122.5,83.9
128,81.5
121.3,81.9
122.6,78.6
124.5,81.2
114.5,82.9
123.7,84.6
125.8,83.9
127.8,84.1
117.6,82.3
125,81.7
121,79.6
121.3,80.6
121.7,78.7
112.4,74.7
129.8,81.4
117.2,77.2
119.7,80.3
119.3,80.9
116.6,80.5
118.2,81.6
121.3,81.2
113.5,82.3
116.6,85.4
114.9,75.8
116.1,78.7
129.7,83.3
116,77.8
118.7,82.1
126.3,82.7
123.1,80.4
118.9,80.1
112.5,79.7
118.9,81
134.5,88
123.2,82.9
119.1,81.1
115.6,78.2
118.5,81.3
121.5,81
130.2,85.1
124.9,80.8
125.2,85.8
118.4,81.8
116.3,75.2
123,80.9
114,76.5
124.9,76.3
125.4,85.6
120.8,83
119.5,77.2
120.4,82.9
117.8,77.2
117.3,84.8
113.6,79.4
125.5,80.4
126.6,76.5
125,81.6
120.9,82
123.5,84.4
123.4,83.2
123.6,80.1
115,82.1
119.9,80.1
121.4,79.4
120.4,83.1
120.6,83.5
117.4,84.1
